United Arab Emirates,2599,2925,3330,3868,4736,5224
United Kingdom,8276,8973,9996,11079,12166,12962
"United
Republic of Tanzania",8561,9934,11219,13092,15526,17857
United States of America,54549,59962,67699,76021,83540,88166
Uruguay,262,277,294,300,315,333
"Venezuela (Bolivarian
Republic of)",5599,5602,5584,5567,5654,5749
Viet Nam,1000,1102,1212,1328,1488,1626
Yemen,1864,2288,2678,3118,3663,4120
Zambia,6020,6770,7673,8960,10895,12415
Zimbabwe,10731,11113,10964,10660,11562,14264
