Import.export,Country,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Food export, current US$",Djibouti,#VALUE!,#VALUE!,511277.2456,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6649890.424,8166549.885,7352263.979,11010454.86,9785849.721,4619996.841,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,331730.3778,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Dominica,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,7674772.712,9874460.226,7256113.224,13125588.6,15515508.25,#VALUE!,13105525.15,#VALUE!,14498606.72,15561157.5,17713820.77,22578141.74,24302802.27,27855118.89,28494329.55,#VALUE!,25610132.2,26851298.58,30673343.2,35862422.09,32623587.69,#VALUE!,33013558.64,31138887.55,29511884.9,28114907.27,30285689.47,31513960.12,32107846.19,34767926.62,41138823.34,54067615.9,49702593.59,50289687.79,#VALUE!,51929675.78,#VALUE!,#VALUE!,#VALUE!,#VALUE!
"Food export, current US$",Dominica,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,10155367.76,12972956.26,6684390.901,4559376.03,10756512.62,#VALUE!,15906687.84,#VALUE!,18039851.01,32333010.37,37067447.97,41123834.47,29589640.44,36940825.79,37534109.94,#VALUE!,32222183.28,27627618.54,23231821.94,24861668.55,26530168.64,#VALUE!,23702309.03,20887114.98,16572443.9,18081227.01,14318914.33,16094419.98,14969063.94,14577553.5,12965272.65,16196068.22,17006589.68,9990333.306,#VALUE!,4651752.442,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Dominican Republic,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,55909514.33,94585643.89,139682255,123530444.6,183875577.8,169456911.6,165286310.6,204847911.2,324348243.9,341143941.8,264410123.2,249452864.7,212370117.4,212333704.9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1064656275,1445780779,1417779966,1315323243,1406043836,1825752670,2008223637,2567424382,1766096777,2108030025,2501846030,2476861529,2297139401,2485445391,2577206342,2628327177
"Food export, current US$",Dominican Republic,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,213449162.9,264291809.4,323921151.4,503359871.4,736737966.4,532617764.9,616587094.4,502849848.2,615126125.6,890368763.4,1153569898,808432017.9,815609802.8,#VALUE!,719093087.5,756382903.8,702633427.6,690486204.1,#VALUE!,#VALUE!,#VALUE!,607384143.5,663861839.6,707978177,719705202.1,432208595.9,501081439.8,#VALUE!,#VALUE!,#VALUE!,2152579566,734930051.9,715004120.3,728565932.4,753494920.6,957699010.3,1042898918,1166603250,1308095865,1858986038,2085631191,2149731912,2514460064,2627781030,2645463046,2811588710
,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Early-demographic dividend,#VALUE!,#VALUE!,#VALUE!,2434100068,2627276712,3162654468,3884934803,3649215518,3855070305,3678337409,4095502932,3729323543,3941555449,6998855281,12973767724,17099428337,14916929188,15862543684,17536274645,17738008978,27400162930,29591246753,25931251352,29036278181,27604353295,22450596903,20633416892,24071245151,29406445344,31402559842,32809815199,31102076050,34822035583,32543358284,37690724673,44850353644,52801717849,56533171794,60522995018,60154501543,61482843161,58626878050,60448900500,69556749574,79826957874,86765064261,92621567465,1.24E+11,1.58E+11,1.36E+11,1.70E+11,2.14E+11,2.09E+11,2.09E+11,2.13E+11,2.01E+11,1.94E+11
"Food export, current US$",Early-demographic dividend,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,8150148000,8875714069,7305679675,7572535282,9703873970,11148406793,12635424839,15900954725,28093300257,25902492688,29311362773,34718206683,35262734076,48315967085,58728860419,57348576045,45126485289,45933995690,44102282314,34620644873,39520747075,40321336243,35147638282,38457858942,45236480104,48931812906,46682548357,46034201594,50524145752,60101035342,67867650313,77907181259,62614890815,64773138360,68377671024,67623925952,69079972920,79934225061,93113502299,1.18E+11,1.32E+11,1.65E+11,2.05E+11,1.66E+11,2.01E+11,2.47E+11,2.66E+11,2.68E+11,2.89E+11,2.57E+11,2.55E+11
,Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Early-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",East Asia & Pacific,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,34614633296,28008996008,31212875940,39703802075,52465114420,59797064600,61365644384,61666290342,65210327322,63796225069,80491643371,1.03E+11,1.05E+11,97843493290,83775130087,86686914721,93526462981,90790872804,95206749703,1.10E+11,1.31E+11,1.36E+11,1.44E+11,1.76E+11,2.25E+11,2.05E+11,2.57E+11,3.21E+11,3.42E+11,3.52E+11,3.66E+11,3.57E+11,3.48E+11
"Food export, current US$",East Asia & Pacific,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,49438277436,43950556871,50248736015,60107366822,63498095213,70678254953,69979457160,76502399258,80920477633,83065583667,93033294570,95832044208,97381511580,1.00E+11,89253816277,89604909472,91858046238,86586745913,92913909963,1.03E+11,1.21E+11,1.25E+11,1.37E+11,1.65E+11,2.00E+11,1.86E+11,2.39E+11,3.01E+11,3.18E+11,3.27E+11,3.52E+11,3.50E+11,3.61E+11
,East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Asia & Pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",East Asia & Pacific (excluding high income),#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6900578073,4601706288,4972954080,7336969494,9858835158,12679579310,12887062435,11469309637,11381651774,9452999755,14344601000,24428097690,23587630483,21328397396,18046351917,19261050095,22689662357,23314352440,25442414867,33386600078,43701208966,45980439539,50902594246,68799444378,95725645703,87528417925,1.14E+11,1.46E+11,1.65E+11,1.75E+11,1.87E+11,1.87E+11,1.77E+11
"Food export, current US$",East Asia & Pacific (excluding high income),#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,15337769142,12638342537,12823542882,16231443351,17454988722,21201817462,21939658638,24665779579,26885135648,27503394038,32753350768,34365695333,35225266670,38736429192,36962622551,36514043806,38621329147,38481009033,43690499568,50912932770,57651490411,65317221484,75902578104,98682989300,1.25E+11,1.12E+11,1.40E+11,1.80E+11,1.86E+11,1.86E+11,2.03E+11,1.89E+11,1.98E+11
,East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",East Asia & Pacific (IDA & IBRD countries),#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6729253937,4492238335,4835914690,7142457209,9607786630,12394562372,12625234923,11278693455,11270082869,9376121304,14262547001,24312957996,23482912462,21229154090,17966889951,19181201719,22590978780,23204248461,25336144401,33262246757,43567632870,45846410792,50766868242,68654824212,95521852913,87342603497,1.14E+11,1.46E+11,1.65E+11,1.75E+11,1.86E+11,1.87E+11,1.77E+11
"Food export, current US$",East Asia & Pacific (IDA & IBRD countries),#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,15073489926,12390616113,12520835563,15948329330,17151072476,20888285061,21635184809,24353298887,26715891436,27326958494,32608588581,34247389866,35109722518,38595888738,36866793389,36433868438,38547317981,38399559823,43591704236,50810487713,57548835765,65223974581,75804856482,98572371538,1.25E+11,1.12E+11,1.40E+11,1.80E+11,1.85E+11,1.86E+11,2.03E+11,1.89E+11,1.97E+11
,East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Ecuador,#VALUE!,#VALUE!,12804306.89,12579713.4,18389498.44,17130624.39,23139568.26,23589396.73,23673842.02,19587079.88,21686097.53,23016078.34,29656398.48,38428719.06,59517673.96,82800550.3,79697361.39,85911659.11,117508441.8,#VALUE!,188971415.8,144500934.5,110164902.3,155424602.4,185728189.4,144051103.3,86603069.46,145621640.6,126266602.5,162102935.1,161142619.5,184011154.7,122343045.5,130625908,230931993.9,314380741.1,425997583.9,465086642.9,669220718.2,324082117.9,335050179.5,432040567.7,558424728.2,618175278.5,736520849.9,826176022.1,855350451.7,1171903072,1690314861,1428509283,1718093509,2103015158,1980522261,1982372706,2140258911,1884761115,1724098471
"Food export, current US$",Ecuador,#VALUE!,#VALUE!,139296882.5,114846044,135638256.8,151226628.1,144475970.4,177853129.6,213358273.5,179378568.6,178735244.5,185531584.6,248640423.5,223422738,387349957.5,345968859.4,467185662.7,671156063.1,778357061.5,837903868.9,810917811.5,812732361.7,736843774,570625071,751151611.5,932873589.5,1141207584,1068301585,1132132266,1105195664,1198087307,1573309384,1503297200,1396148529,2099508789,2279246003,2660359336,3040686779,2650282338,2364651821,1799014032,1967341302,2148104691,2536777200,2435696342,2855803714,3440918281,3900907343,4771055836,4966788770,5249204372,6695583198,6786865661,7738474048,9046423345,8755150245,8772557118
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$","Egypt, Arab Rep.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,265858567.9,305952592.3,332593961.6,226214304.7,166727659.4,182677921.4,272001946.4,257741547.4,289798047.4,1040902876,1412898396,1078298450,1113218794,1738650954,1003987834,1574080736,3023069360,2793652158,2624111558,2980541203,3006617322,3453473659,4433699799,6179267407,4805555082,3915257009,2033845237,2446955024,1963019195,2809984549,3337775982,3842500785,3490263706,3434828664,3660148473,3663895414,3463649977,3534077140,3226688090,3586349033,4502208084,5176399536,7540480004,8311096894,7718426057,10097358427,13971018195,15510488605,11743903024,14091228746,12302621661,10526333382
"Food export, current US$","Egypt, Arab Rep.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,88307113.12,92633534.27,116723233.7,152067011.3,203567126.5,162108759.5,145141788.2,126382483.7,214571344.9,250992406,244058740.8,300072845.4,317773799,275302041.2,176546068.3,206446465.5,232213826.8,231383618.2,244941343.2,230477411.5,207806941,200243411.6,494811519.9,516382771.2,465129615.6,336538421.8,306829445,335669104.2,311008841.2,285397808.2,338074097.4,371013471.8,295645639.3,377192667.1,317217553.8,417466357.9,475419802.4,482061304.2,635679748.9,939581250.2,1125619355,1108392088,1517902700,2805409977,4009243931,4537441327,4574342383,4212741901,4745017674,4592401643,4362612144,5542110805
,"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",El Salvador,#VALUE!,#VALUE!,#VALUE!,24943333.73,28265270.4,31402124.56,36031636.69,33046359.27,37731879.11,32204839.03,29816195.8,31344539.98,28986940.71,45846611.45,58171389.98,74765096.69,82227530.43,95827861.97,118416491.5,132698007.8,171298326.1,162528278.4,153301207.9,151617727.7,126724810.7,149083983.3,117373023,143469494.5,151347682.3,167188018.3,179970963.2,226167902.1,269922868.9,267621470.5,384597148,491327875.6,547661931.7,628882884.7,652044608.2,758694673.3,611468123.8,643318660.4,699484909.7,775377615,865357831.9,919252212.9,1040298826,1268144534,1473801116,1293529839,1321923368,1571890283,1660294136,1640455542,1716163049,1774081400,1807953071
"Food export, current US$",El Salvador,#VALUE!,#VALUE!,#VALUE!,92424968.53,111390408.8,114621328.9,116157420.8,125983080.3,124167254.4,112982652.1,136163758.7,121718441.4,148418186.5,201900289.1,261121270.1,295866579.5,482374998.2,677801341.2,398137997.3,794891169.9,452507977.5,355248858.8,302170891.4,358309995.8,491029749.7,458919146.9,616991991.1,419442334.9,423859372,287700769.4,333123615.3,325617887.7,382857644.6,519616321.7,635469122,941629140.4,937132270,1331557486,1143544579,1056176744,564677203,421838260.6,403415253.7,423793661.9,469826922.1,588193720,657095529.1,768987701.3,914201057.1,755856699,801875465.5,1137669533,1225143027,1201971563,1009282124,1074383827,979368356.8
,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Equatorial Guinea,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1860696.999,9455839.371,7250117.105,7082234.416,6041919.565,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
"Food export, current US$",Equatorial Guinea,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,21449047.85,12285256.61,8132783.557,7809331.78,7522702.591,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Eritrea,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,176192776,126987103.6,#VALUE!,197178278.5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
"Food export, current US$",Eritrea,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,19948456.12,4967679.4,#VALUE!,2779096.926,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Estonia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,352455374.2,491782360.7,714288279.4,790661827.5,529200013.3,496329160.7,553408516,677432657.8,892756157.3,811636087.1,887612207.5,1003597220,1375102292,1601189125,1268371314,1399673551,1738742473,1650415846,1899124208,1861445798,1529592207,1563102898
"Food export, current US$",Estonia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,296082557.5,320566445.2,477237046,507402981.6,332458251.4,307294164.5,404299065.6,508179217.4,598200364.3,552898246.9,623751644.6,729624795,1022943848,1149979490,918315477.1,1147322696,1496004089,1520055075,1671417795,1655902095,1310237438,1274928761
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Ethiopia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,126221374.3,#VALUE!,158410860.4,#VALUE!,27083363.13,91815841.07,144185614.8,88090971.34,263424853.1,180111535.6,576780130.9,353399226.2,435886674,442061930.1,407333020,1185083066,832772538.5,943658745.1,1315782527,1222640330,1475637311,1270869985,1789627017,1394775956
"Food export, current US$",Ethiopia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,137841504.9,#VALUE!,306074537,#VALUE!,461008761.2,451980917.1,347497142.9,343080915.7,276097158.3,332721604.7,307623099.3,511399302.3,710901248.4,798076154,793694367.3,1205865190,1253934826,1829862405,2253569775,2707432834,2082451396,2536522643,2187459691,2446533591
,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Euro area,#VALUE!,#VALUE!,9833186969,9650035331,10277790008,11907875550,12866521721,12626616341,13152025376,15268195321,16989383035,20794168285,23897849236,33687722344,38700833265,43467046160,46366890696,57373771648,65290847345,77072733634,82926765601,75060834622,73700539192,70369263179,69465025543,70587836254,87977503645,1.04E+11,1.13E+11,1.13E+11,1.35E+11,1.44E+11,1.55E+11,1.38E+11,1.57E+11,1.86E+11,1.84E+11,1.69E+11,1.76E+11,1.69E+11,1.50E+11,1.57E+11,1.71E+11,2.07E+11,2.32E+11,2.49E+11,2.68E+11,3.25E+11,3.84E+11,3.40E+11,3.49E+11,4.25E+11,4.05E+11,4.29E+11,4.35E+11,3.72E+11,3.94E+11
"Food export, current US$",Euro area,#VALUE!,#VALUE!,7467566469,6805595439,7478867529,8310276569,8639086536,9532923094,10149444673,11659884443,13614936401,15551236098,18950813030,26487243987,31534026071,35021211091,37333904369,43393279642,51779814831,63266734663,69529523097,67737000266,63504679188,60528709345,61690255048,62721294057,80271063767,97324917338,1.07E+11,1.11E+11,1.31E+11,1.34E+11,1.48E+11,1.39E+11,1.54E+11,1.83E+11,1.83E+11,1.68E+11,1.75E+11,1.71E+11,1.51E+11,1.58E+11,1.75E+11,2.11E+11,2.39E+11,2.56E+11,2.80E+11,3.36E+11,3.94E+11,3.46E+11,3.62E+11,4.43E+11,4.27E+11,4.57E+11,4.63E+11,4.09E+11,4.22E+11
,Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Europe & Central Asia,#VALUE!,#VALUE!,17609721470,17644978657,18326701983,20136862815,21580980826,21151545925,21371669474,24029923766,27101598020,31578169098,35940617438,50070395053,59568430754,66177256817,68860031744,83389134759,93107567252,1.09E+11,1.17E+11,1.07E+11,1.03E+11,98517140039,98867224321,1.00E+11,1.25E+11,1.46E+11,1.58E+11,1.58E+11,1.84E+11,1.95E+11,2.08E+11,1.86E+11,2.11E+11,2.48E+11,2.62E+11,2.46E+11,2.56E+11,2.41E+11,2.23E+11,2.33E+11,2.53E+11,3.06E+11,3.46E+11,3.77E+11,4.11E+11,4.95E+11,5.91E+11,5.20E+11,5.42E+11,6.52E+11,6.44E+11,6.90E+11,6.92E+11,5.99E+11,6.22E+11
