Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Azerbaijan,AZE,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,10.43378871,7.642099538,11.9747922,13.36046007,13.33894531,10.63754045,20.9375336,13.41141942,9.954885622,15.57458769,19.07650253,19.9624526,31.75203737,24.24627135
"Bahamas, The",BHS,Arable land (hectares),AG.LND.ARBL.HA,7000,7000,7000,7000,7000,7000,7000,9000,9000,8000,8000,8000,8000,8000
"Bahamas, The",BHS,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,155.0975,134.5525,152.59125,189.88
Bahrain,BHR,Arable land (hectares),AG.LND.ARBL.HA,2000,1700,1500,1500,1450,1400,1200,1360,1600,1600,1600,1600,1600,1600
Bahrain,BHR,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,8964.5,103.5294118,0,2906.666667,9436.551724,798.5714286,1993.333333,947.7941176,1721.25,1178.125,1553.125,1606.25,1318.75,1318.75
Bangladesh,BGD,Arable land (hectares),AG.LND.ARBL.HA,8253000,8228000,8143000,7911000,7880000,7816000,7803000,7796000,7791000,7678000,7670000,7678000,7669000,7764210
Bangladesh,BGD,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,188.6391615,160.2668935,170.6713742,197.7487043,193.1901015,184.4110798,200.0640779,188.8528733,212.9639327,255.764522,260.4432855,254.6001563,279.2202373,297.7353781
Barbados,BRB,Arable land (hectares),AG.LND.ARBL.HA,14000,14000,13000,13000,13000,13000,13000,13000,12000,11000,11000,11000,11000,11000
Barbados,BRB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,45.85714286,79.71428571,214.2307692,109.0769231,139,133.6153846,135.1538462,77,135.0833333,96.27272727,181.3836364,115.3545455,65.46363636,89.65636364
Belarus,BLR,Arable land (hectares),AG.LND.ARBL.HA,5616000,5569000,5548000,5542000,5540000,5519000,5516000,5544000,5535000,5529000,5522000,5574400,5670000,5685000
Belarus,BLR,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,135.9864672,135.6257856,146.9178082,167.7011909,231.967509,218.3547744,237.4184191,281.1147186,270.4607046,303.8885874,271.386092,255.6669776,214.9246914,193.9270009
Belgium,BEL,Arable land (hectares),AG.LND.ARBL.HA,832000,835000,840000,843000,842000,839000,844000,840000,834000,825000,803000,816000,817000,829500
