Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],,Import.export,Country,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Algeria,DZA,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,1264110000,1023890000,392541000,682998000,703253000,671452000,643298000,639044000,814655000,1009100000,1256820000,1227040000,1494020000,2235710000,4035220000,5497520000,5081460000,7124990000,8547640000,8402740000,10558000000,11303000000,10754000000,10399000000,10288000000,9841000000,9228000000,7042000000,7690000000,9470000000,9780000000,7770000000,8550000000,8785000000,9370000000,10100000000,9090000000,8688000000,9400000000,9162000000,9171000000,9940000000,11969300000,12380400000,18168600000,20357000000,21456000000,27631000000,39479000000,39294000000,40473000000,47247000000,50378000000,55028000000,58580000000,51702000000,46727000000,,,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,394162000,367425000,192220000,758751000,727153000,637221000,621220000,723305000,830049000,933957000,1008700000,856566000,1304180000,1887450000,4686720000,4700200000,5258870000,5944400000,6325930000,9550860000,13871000000,14396000000,13170000000,12583000000,12795000000,12841000000,7832000000,8225000000,7810000000,9570000000,12930000000,12570000000,11130000000,10230000000,8880000000,10258000000,13220000000,13894000000,10209000000,12525000000,22031000000,19133000000,18799000000,23163000000,31304000000,46002400000,54613000000,60163160000,79298000000,45174050000,57052586000,73489000000,71866000000,64974000000,62886000000,34668000000,28883000000,,,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,"Food import, current US$",American Samoa,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
American Samoa,ASM,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,"Food export, current US$",American Samoa,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
American Samoa,ASM,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95000000,234000000,198000000,227000000,284000000,296000000,313000000,346000000,339000000,378000000,360300000,371900000,418000000,466700000,497800000,415700000,470600000,528600000,498200000,452600000,506000000,515800000,499200000,623800000,603700000,506200000,565700000,460200000,567800000,482000000,360900000,344500000,395703000,373829000,350000000,285000000,280000000,,,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,127000000,199000000,187000000,177000000,212000000,201000000,254000000,288000000,368000000,308000000,311000000,326800000,315541000,481088000,252000000,272000000,313000000,424000000,415000000,345000000,346000000,317700000,388100000,459500000,445600000,373800000,438500000,330600000,336800000,483500000,320000000,300000000,421660000,388442000,380000000,380000000,390000000,,,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.72896996,29.13137398,30.44526817,23.04603248,21.08069276,19.98601203,20.10839324,19.36370739,18.88024797,18.18226136,..,18.75581334,17.9408471,20.15049058,21.66413853,22.03834146,22.40515425,23.4639772,23.77984178,23.63197076,..,..,,"Food import, current US$",Andorra,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Andorra,AND,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.508495049,6.540601169,9.485408267,10.73127494,11.04027322,8.392797042,4.930022044,3.955891906,6.32259855,11.63986952,28.85890232,30.40370991,2.105570089,14.78239961,10.34936478,0.850345282,0.667680715,1.221121664,0.483717641,1.008546655,..,..,,"Food export, current US$",Andorra,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Andorra,AND,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,19.34147576,..,..,..,..,..,..,15.13108728,15.67962145,13.39212282,11.8308829,13.0863059,14.37385396,..,..,..,..,..,..,..,..,..,..,32.4960491,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.01422132,..,13.50316169,15.23143638,18.59513476,20.06653697,17.75272262,16.97749693,15.68219871,..,,"Food import, current US$",Angola,#VALUE!,#VALUE!,26304407.04,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,48570790.18,57701006.93,59594946.54,46377060.98,75769711.14,88255463.33,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,455269647.9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,2187702774,#VALUE!,3059802936,2538603700,3761498240,4759160506,4674467092,4852214616,3245044780,#VALUE!
Angola,AGO,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,65.49482503,..,..,..,..,..,..,49.68793658,44.69141738,45.42154064,42.07283976,40.59791162,27.629101,..,..,..,23.27657671,14.34224701,8.69300388,5.239923467,..,..,..,..,..,..,..,..,0.234865204,0.305922033,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.097308253,..,0.081153768,0.05444516,0.03870436,0.063119924,0.073454091,0.085170953,0.14349843,..,,"Food export, current US$",Angola,#VALUE!,#VALUE!,96932341.04,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,161982673.2,189044695.5,206668009.9,201528902.5,321535460,332101794,#VALUE!,#VALUE!,#VALUE!,225317262.6,156473914.9,163689263.1,97252979.55,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,9183229.492,10431941.32,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,43201166.7,#VALUE!,33133379.33,27546474.2,26052020.58,44874036.95,50129859.57,50395554.96,47614401.05,#VALUE!
Angola,AGO,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,128000000,114000000,136000000,147000000,164000000,195000000,207000000,275000000,303000000,321000000,368000000,445000000,392000000,579000000,614000000,429000000,353000000,720000000,885000000,1112000000,1328000000,1662000000,886000000,983000000,1256000000,1401000000,1086000000,1303000000,1372000000,1338000000,1578000000,1347000000,1988000000,1463000000,1454000000,1468000000,2040000000,2597000000,2079000000,3109000000,3040000000,3179000000,3760000000,5480000000,5832000000,8353000000,8777600000,13661000000,20982000000,22659900000,16666870000,20228400000,23716900000,26330987036,28580270906,20692537055,12538200000,,,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
