Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Uganda,54.25,53.21,55.54,57.43,58.35,59.04,62.49,64.73,69.38,75.89,80.07,81.02,82.39,81.62,84.51,86.29,86.88,91.68,79.61,75.53,77.89,80.69,84.14,84.89,84.1,88.24,81.95,86.47,91.22,95.94,100,102.57,105.69,105.03,108.21,110.9,113.39,116.45,120.62,123.51,126.05,129.72,135.47,138.24,141.42,143.96,147.11,167.59,173.73,178.12,179.42,176.76,181.81,181.52
Djibouti,21.89,22.5,23.59,24.43,25.94,26.99,27.85,29.25,30.44,31.71,32.74,34.2,34.97,35.87,37.57,39.28,43.32,45.94,52.64,61.12,62.83,62.63,65.23,68.12,71.19,76.58,82.64,81.88,86.57,101.89,100,101.82,119.49,109.51,116.7,114.57,118.51,126.76,138.62,122.24,122.88,142.86,134.75,134.35,137.56,134.22,135.25,136.02,138.97,139.73,139.32,144.24,147.15,142.68
"Ethiopia, former",60.18,61.46,62.17,63.55,65.2,68.86,71.27,73.95,76.36,78.85,82.75,80.82,80.25,81.14,80.45,78.88,79.14,80.46,82.93,85.79,85.3,85.44,89.7,86.07,85.22,93.44,93.91,96,98.36,131.35,100,102.7,101.32,105.55,112.37,121.85,121.33,123.95,128.37,126.97,137.69,136.87,134.02,151.29,159.22,158.07,167.34,173.38,180,187.36,192.68,200.95,207.91,213.75
Somalia,60.03,61.38,62.84,64.47,67.16,70.05,73.25,74.49,76.65,78.17,76.72,82.79,76.8,76.4,83.6,88.32,96.26,99.34,101.34,101.85,112.53,114.18,106.99,113.2,113.45,109.32,115.81,119.14,119.71,112.29,100,94.02,96.12,113.56,104.97,106.11,109.63,104.72,107.65,108.96,109.69,112.34,115.03,117.97,117.99,115.87,107.44,111.25,118.34,122.06,108.92,112.33,117.19,115.82
"Sudan, former",46.07,46.52,49.55,50.7,51.01,53.13,58.64,58.76,60.18,64.21,66.23,71.51,72.69,74.53,80.37,80.29,78.19,74.84,78.96,86.32,91.56,90.16,90.6,94.21,101.54,96.36,89.36,103.11,94.47,90.18,100,112.96,110.79,126.04,123.37,131.99,136.76,131.71,130.54,131.24,144.56,140.04,146.73,138.35,161.16,152.21,152.83,155.95,158.26,154.03,166.02,158.77,181.93,189.3
Burkina Faso,32.61,36.25,36.42,38.25,40.12,41.05,43.05,42.69,47.53,48.21,49.32,48.44,46.62,51.59,52.96,56.31,58.57,60.9,61.1,58.13,65.19,67.2,68.97,66.79,75.88,83.93,86.75,90.81,94.44,93.04,100,102.55,101.28,105.72,107.08,110.11,117.02,123.51,122.98,116.54,132.39,136.85,157.52,153.64,163.66,164.02,161.97,182.01,176.78,191.48,185.66,197.43,207.72,207.79
Cape Verde,45.25,48.19,49.68,51.27,57.22,61.46,61.62,50.24,48.19,36.4,35.34,34.9,33.34,36.36,37.71,41.65,35.7,39.48,52.4,62.23,47.41,54.09,50.49,54.53,48.89,71.51,90.56,91.49,98.56,98.57,100,108.32,105.68,100.58,105.65,96.38,100.25,100.86,98.4,104.43,101.49,103.41,104.11,102.85,95.53,105.31,103.04,105.22,102.99,102.38,93.17,97.16,97.52,85.72
Chad,67.75,69.03,70.12,71.25,73.07,72.06,74.07,76.13,75.96,76.63,79.26,80.55,76.99,72.5,75.67,78.75,82.77,83.94,81.97,82.11,76.28,76.11,82.62,75.61,84.85,84.73,84.99,88.9,91.36,92.13,100,102.52,101.19,109.27,111.83,113.77,125.89,131.76,132.63,132.88,141.48,136.16,145.58,141.39,157.91,160.7,162.99,165.61,171.28,199.04,174.72,198.32,196.04,200.68
Gambia,50.9,53.15,55.27,57.25,59.64,61.1,59.93,62.97,64.91,67.75,71.37,71.44,74.44,71.37,70.38,71.32,72.41,76.41,68.58,72.9,79.66,84.03,82.09,81.74,85.75,89.53,93.26,94.52,96.34,96.64,100,94.14,96.26,98.42,102.7,99.75,108.31,108.85,120.59,126.66,131.55,125.63,139.71,147.34,149.31,155,153.69,167.76,182.18,187.62,162.12,166.2,168.84,171.5
Mali,46.81,53.12,55.12,53.25,57.22,62.31,65.44,65.93,68.51,71.75,72.36,69.64,69.31,68.82,66.75,77.02,78.64,72.98,77.7,81.88,83.27,88.54,85.83,89.5,84.92,84.2,85.34,95.81,97.05,101.63,100,107.95,112.88,113.19,112.49,109.51,115.14,118.86,126.4,122.04,130.3,146.13,150.71,152.4,155.6,160.48,171.71,171.64,168.59,184.04,211.02,206.1,200.23,210.22
