Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Uganda,3184.76,3231.49,4001.63,5103.53,6841.14,7104.67,8208.1,9414.21,11613.57,14415.89,18463.99,18812.41,19494.04,15566.53,16639.49,19154.25,24484.31,26096.19,16459.83,14950.75,19018.09,16766.78,19778.86,17138.83,17722.81,18577.65,16906.72,16210.66,19613.59,16759.3,19453.65,21722.13,23256.26,20723.46,23615.21,26282.93,27623.13,27789.62,30810.56,28449.78,26802.79,27109.46,31177.88,32531.15,36393.27,39993.69,35925.43,36024.82,42360.2,48514.98,43730.34,39787.47,50770.96,37032.32
Djibouti,0.16,0.17,0.2,0.25,0.46,0.51,0.59,0.7,0.83,0.96,1.11,1.54,1.64,1.41,1.44,1.81,2.62,2.74,3.65,13.35,17.16,14.48,16.08,15.01,18.12,19.23,18.23,14.78,19.63,39.59,48.04,52.7,55.68,52.59,62.1,65.23,72.46,60.43,68.93,62.12,59.94,64.23,45.48,49.43,62.72,56.54,47.19,48.27,63.63,71.07,62.26,70.66,92.15,54.02
"Ethiopia, former",1500,1500,1500,1500,1600,2800,3700,5200,7000,8800,15800,11400,16900,19100,31200,27300,27400,29200,37300,43200,46000,35000,46600,33000,15000,46600,60900,59000,70000,60200,66100,88500,75900,116100,134300,177500,131700,164000,167900,157400,206900,181300,42000,237000,223000,194000,222000,201500,218400,225000,256000,346200,434200,503400
Somalia,471.34,493.3,576.7,695.99,939.7,1027.75,1187.59,1285.44,1496.31,1657.99,1740.29,2525.12,1705.87,1440.89,1897.64,2479.79,3482.28,3307.3,3089.1,2933.23,4494.85,3839.66,3398.26,3788.59,4013.06,3453,4027.84,3886.6,4314.88,3198.21,2468.57,2214.77,2351.4,4464.79,3261.64,3465.92,3957.65,3082.36,3508.36,3247.03,2974.8,3213.32,3621.78,4048.64,4728.14,4209,2673.83,3077.76,4469.35,5441.58,2858.87,3114.46,4504.81,4112.1
"Sudan, former",24800,18300,25500,24200,23900,29700,39800,42300,30600,44500,46000,88200,56200,60300,95100,80000,32000,11600,34000,80700,75100,79500,42400,87900,94800,60200,38700,80000,49300,81900,55700,59500,52900,58400,51700,95400,77400,37700,38800,40700,84200,70500,46400,77100,69800,65100,66200,60200,62600,73600,86300,79000,94400,104100
Burkina Faso,29,110,77,97,100,100,100,200,456,572,884,1102,603,1200,1200,4800,6865,9874,7210,4308,9852,10429,13277,11456,12136,16340,17852,15113,20598,21166,20686,21336,21000,22651,24308,24095,42577,50232,43400,33923,33420,40200,52996,57687,74694,63000,49495,57207,53876,56571,61004,65986,94754,94625
Cape Verde,39.31,41.5,49.36,58.83,103.36,116.44,132.64,78.09,72.72,37.65,38.89,38.75,36.14,45.29,53.66,77.19,56.39,73.25,134.35,181.56,95.02,117.4,107.86,122.39,91.4,215.49,367.49,302.82,374.65,294.86,320.47,329.67,334.93,296.23,313.95,346.68,356.52,330.21,334.26,313.33,284.41,294.78,313.99,290.91,265.27,371.97,316.96,344.78,375.88,429.9,365.52,387.86,473.52,445.65
Chad,1593.7,1706.7,1923.67,2338.21,3164.49,3013,3321.38,3780.71,4146.76,4554.15,5532.74,5601.36,5523,4683.92,5284.45,6445.98,8653.96,8796.08,7003.78,6697.61,5698.82,4525.6,6576.6,4942.05,7665.08,7043.49,6276.51,6105.11,7069.07,5936.16,8031.03,8709.07,8348.56,8915.15,10107.25,10933.76,13595.4,14337.78,14731.55,13135.55,14060.56,12643.99,14980.27,14700.65,19710.64,21233.09,17976.5,18222.22,20172.6,23290.52,17632.89,25626.98,25404.96,29307.6
Gambia,153.49,165.4,194.24,239.48,323.11,347.64,337.08,402.95,450.09,522.3,639.4,632.49,715.21,534.31,521.79,600.03,805.31,854.55,531.81,590.24,873.99,808.5,803.17,698.36,789.46,794.82,806.59,734.3,826.97,708.49,795.26,716.25,764.47,733.88,873.83,884.66,1033.76,968.08,1248.53,1272.46,1346.19,1160.95,1413.26,1586.46,1747.14,2006.14,1675.99,2025.68,2719.79,3125.28,1998.7,2134.56,2521.22,2528.21
Mali,66,330,350,300,581,1701,1569,2322,2400,5500,7200,7246,8917,7442,2200,11800,14800,11622,14125,14194,8704,11248,10165,50238,19706,14747,15614,13400,17800,15200,15000,27300,25000,25000,27000,27300,47800,45900,49800,39847,42000,86770.67,86770.67,86770.67,87925,99355,180340,129517,38089,122718,150992,178596,201863,186311
Mauritania,244.4,256.09,310.66,380.14,602.33,552.85,602.37,672.3,850.6,895.26,1062.45,902.04,672.55,661.02,544.18,491.6,625.39,856.41,749.23,749.04,1089.66,871.15,804.24,696.53,1085.78,1103.07,907.4,1006.66,1138.02,679.38,915.3,869.52,1233.7,1556.6,1638.97,1757.77,1496.71,1495.56,1738.97,1486.46,1350.62,987.59,1561.98,1367.78,1745.04,2176.58,1981.16,1952.58,2169.79,2803.45,1630.44,1652.2,2843.7,2911.89
Niger,100,100,100,100,100,100,295,255,346,175,252,403,390,157,631,1152,2082,1681,1804,2693,5565,2813,1800,2338,3571,1985,2854,1730,2752,2299,530,1400,1500,6115,9979,9000,700,500,4188,4524,4982,4970,4126,3385,5475,7459,5297,2289,5267,7490,7576,14666,10697,17021
Senegal,10400,7800,8300,9900,13700,16200,16200,12100,7700,7900,13500,15700,27900,38700,47400,39900,46800,35300,30000,18600,21800,18400,18600,18000,18700,19200,18900,23400,12400,11800,16600,17000,24000,25900,16200,21600,22900,25600,37800,38200,29900,33000,22900,23000,23000,23000,23400,19000,20100,48800,57600,58000,57000,52000
Angola,1422.4,1672.45,1970.81,2408.62,3200.95,3482.15,3842.63,4333.28,5180.72,5654.62,6662.32,6961.3,7499.22,6213.29,5647.7,5852.69,7800.61,7709.34,6753,6453.05,7791.18,6540.25,7335.43,6386.96,7263,7761.42,7423.27,6659.44,7528.97,5356.11,6577.99,7817.37,8957.65,7433.11,7497.93,8063.97,8464.6,9063.47,9343.34,8888.68,9276.18,9998.57,12115.85,14944.94,17543.18,18909.2,18306.79,14862.11,24964.82,28477.94,28324.09,18856.23,35511.03,32225.01
Botswana,178.24,68.99,81.57,90.93,108.55,197.62,459.09,286.93,482.08,602.12,825.12,424.71,589.3,596.67,599.02,826.16,1059.32,826.41,507.04,1001.22,1249.58,470.53,497.42,435.64,660.89,704.31,691.12,1201.09,1301.76,863.69,714.94,526.22,658.94,1134.15,793.79,1513.27,1013.09,540.13,699.39,1038.88,418.9,657.17,416.85,753.54,728.98,930.1,372.51,721.5,1087.54,1118.42,1204.01,731.81,870.5,1525.25
Comoros,29.98,31.86,38.93,47.78,67.56,74.75,79.4,84.42,97.79,111.25,128.96,133.89,141.28,121.94,123.41,137.96,193.32,205.06,193.65,195.62,247.19,212.64,235.69,201.32,266.53,266.26,265.61,243.42,285.11,245.1,275.84,305.61,324.5,301.36,351.97,407.4,426.64,443.99,488.07,444.87,437.37,404,460.24,493.73,510.48,568.08,504.64,520.98,605.8,691.07,600.46,588.35,770.42,710.69
Lesotho,241.83,252.71,296.84,365.11,509.52,532.58,602.63,717.23,824.68,924.54,1119.22,1019.08,999.66,959.54,788.59,793.71,893.85,1038.38,907.38,899.97,1140.78,904.47,929.74,897.36,1131.41,960.69,1073.98,1149.22,1016.92,879.21,660.13,707.9,753.37,1124.32,525.95,1130.41,1115.76,713.32,1077.48,1073.1,1194.56,959.59,1012.74,973.05,982.4,1546.09,1018.43,1080.16,1164.34,1493.7,1069.79,865.91,1151.43,1183.62
Madagascar,1337.7,1460.44,1735,2177.73,2931.89,3353.35,3720.69,4217.76,4849.64,5449.98,6416.51,6915.01,7322.27,6305.09,6575.74,7637.87,10610.95,10705.65,9638.64,9908.74,12364.91,10290.69,11708.65,10100.81,11595.71,11427.28,9977.48,9170.99,10814.96,9090.41,10163.71,11010.91,12115.34,9978.9,11349.23,12421.31,13190.66,13058.91,14026.38,12588.38,11694.52,11621.47,12951.32,13514.27,15444.5,16659.77,14722.92,14842.92,18806.68,21589.89,19244.31,19138.09,22690.48,21316.47
Malawi,4470,3880,4150,4850,5000,5000,6000,7000,7088,10999,15062,13343,16392,10630,15021,26898,23492,28870,25244,33264,34156,32300,43001,44774,29267,37479,48403,51226,54800,48000,70000,73800,74000,21283,43519,58200,56800,50200,50100,49791,27482,84684,93232,103218,97574,121521,125156,120303,107960,130893,106282,149669,173340,138686
Mauritius,22600,22700,25000,26500,22800,18900,21900,21700,21800,22000,21700,32000,26700,26900,24200,21400,28400,26100,28500,26600,22400,27100,27100,27100,28000,25300,32800,28100,30700,27800,27600,26600,26000,29200,31800,37800,33500,33100,35300,39200,32700,36500,34500,39600,39100,31800,32400,35200,33200,35400,37900,30000,35000,36000
Mozambique,3550,3600,4300,6800,6800,5000,5141,5993,7293,6565,9947,15500,12700,6963,5900,11200,14500,20700,23900,27600,41400,35800,14700,3900,3803,5900,6500,1600,2400,2600,5100,4900,3200,6300,7800,8100,6500,8000,8000,14300,24900,26600,3313,10395,7137,22751,13836,61653,22184,46327,41561,33867,59801,84144
