Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Puerto Rico (USA),19866.86,19751.77,20776.07,21883.32,22350.88,22374.67,22451.12,20982.95,18174.19,19328.42,18406.98,19130.58,18805.41,19275.94,20765.86,22082.25,21773.39,21421.24,21575.55,22731.78,23325.82,22485.99,24089.05,25283.36,27258.49,27890.49,28276.04,28344.99,26400.89,24805.15,29160.55,31002.13,22326.72,18988.28,23469.78,21376.9,18022.13,17456.05,13425.43,12097.31,11728.99,11728.99,13306.59,12805.82,17346.28,9236.05,9236.05,8935.77,7594.04,8870.45,8071.04,7915.26,7787.29,7642.38
Trinidad and Tobago,2300,22400,17500,18000,21200,8100,7200,8000,8200,9200,12800,10600,14300,11400,6900,7500,5000,8500,8100,8000,6500,4600,7800,6100,7100,5100,6800,2100,3300,7100,8100,9600,5400,5400,7000,10400,10600,7100,5800,6200,6200,4400,4400,6400,6000,5900,5900,5100,5600,5700,5800,6900,7700,9000
Belize,263.16,226.09,279.87,402.68,472.99,408.66,614.67,857.54,780.01,919.87,946.77,1091.51,1101.42,1349.3,1178.71,1214.46,1128.2,1127.46,1067.15,1213.61,1522.91,1241.75,1262.45,1363.17,1161.29,1428.75,1694.16,1576.79,1916.07,2143.98,2126.37,2299.7,2873.23,2189.49,2437.29,3008.33,4145.88,4046.79,4213.77,4053.81,3495.66,7655.82,7579.93,5315.59,4299.81,3044.04,3315.21,2257.06,3144.67,3986.67,3880.96,3665.76,4874.94,3678.17
Costa Rica,19900,17000,22000,26000,29800,28800,30600,47800,54200,49400,43400,47800,72200,70500,66100,55700,66500,79900,78100,70700,69900,72000,88300,96300,80600,85000,95000,100900,107000,108600,116400,122800,107500,129000,122000,149200,191000,199000,184000,172000,113800,131000,129000,150500,169000,155300,152500,128200,123000,133000,165300,140000,125000,189600
El Salvador,20600,26400,45800,50100,32700,45100,44400,53700,59700,63500,80800,87700,109800,98600,93900,102200,105500,111500,72600,64400,88400,60000,82100,54800,84600,66500,92600,97000,78200,74800,77400,74900,75000,66000,69000,91800,94400,82800,78500,80300,56500,53100,54700,61600,71900,62700,64900,66600,57400,70200,61500,77000,69500,56600
Guatemala,15400,15200,19500,18800,14500,33300,25200,41200,32700,46400,27900,36200,50400,64600,55000,95200,103400,95300,100400,88800,74000,80900,68100,90200,95100,123000,107400,107300,129400,117000,143200,157900,172000,169000,186000,183000,209300,172600,196500,211500,207800,188600,164800,215000,194900,232800,195400,205500,161900,242500,228100,248900,302900,319500
Honduras,9124.52,10001.79,11241.48,14528.57,14551.55,11481.54,15009.62,17229.22,17727.17,18405.76,18944.42,20778.85,21932.98,22479.46,20194.44,21093.91,23133.9,23922.12,19719.05,20654.5,24830.38,17918.22,20706.79,23282.31,16515.02,22711.92,23258.77,22931.83,24571.43,28025.04,27157.17,26890.86,30963.08,31937.12,28016.49,37150.84,46082.84,48814.49,47409.58,47562.12,40070.7,97195.83,97935.17,71069.13,58328.3,38450.18,42567.67,27594.18,38990.12,48187.4,47905.9,46834.6,56790.69,32068.08
Mexico,195400,171300,208300,242600,333100,384300,411000,494100,562000,530600,609800,677500,750200,920800,1073000,1118300,1092500,1083500,1133400,1205600,1542900,1669500,1485800,1660900,1764500,1728900,1847000,1757400,1739900,1798400,1619400,1616000,1591900,1647900,1286000,1641800,1636200,1796700,1768000,1832000,1850000,1633100,1680700,1761900,1694200,1643300,1777700,1379200,1660100,1749200,1723000,1781000,2137000,2085100
Nicaragua,4100,3500,10000,10400,29200,22100,24800,27700,27200,25800,30200,25100,54500,35400,19300,47900,48400,48500,23000,54200,42100,44800,70300,48700,62900,67900,50400,76600,35300,39900,34400,31300,27000,21800,31000,40500,35700,38600,36000,28900,17700,19500,31200,32800,23100,43400,61200,42800,41800,55100,45800,68900,61700,63800
Panama,4533.33,4777.76,5658.32,6979.3,7956.08,6304.82,8069.7,8915.97,9008.35,7251.94,7398.76,8337.35,9027.35,10064.21,8184.7,8420.81,7821.5,7401.97,7221.89,6995.68,9028.57,7681.02,8753.05,8718.76,7463.1,9251.26,9300.8,8520.07,8925.02,10376.47,9022.33,9766.86,10584.56,10299.54,9501.89,12112.28,13480.15,13418.3,13594.77,14206.3,14807.83,32342.09,35933.41,26288.14,20495.94,12335.47,13348.03,9083.48,11647.15,14250.5,13048.19,12990.68,15828.47,11850.26
Bolivia,800,900,1150,1450,1500,1500,2900,1800,2912,1545,4100,4967,5299,6000,3200,2900,3614,4640,3255,2968,6918,2700,8387,5147,5800,6700,6531,4508,10234,5162,7752,13737,10155,10796,6769,9059,12555,5054,1940,7503,11529,13341,12916,18125,24636,15478,24556,20088,22962,31177,34778,35294,43777,40567
Colombia,115400,66000,66000,93400,110800,137200,132000,132900,144400,181200,190200,231300,263000,259700,216200,247600,291100,272500,303200,309200,292200,303400,317600,362500,365200,433500,498300,512100,524300,602600,601200,511400,514900,497800,486200,485000,556700,595900,585900,658200,640400,652000,697800,709100,735400,731000,747500,635600,655600,725100,789500,813100,792300,923300
Ecuador,10800,14700,18800,10600,15400,17500,40200,54200,41400,34100,18400,42400,52400,40800,32700,81400,86000,72400,90200,72600,68600,72100,73800,73100,72300,74400,63200,76800,74200,65500,82600,97800,94000,93000,101000,118000,162600,161700,175500,164400,230600,221000,241600,263400,172000,249700,239400,221800,213800,268400,288900,248000,279700,337200
Peru,96600,118100,103000,88200,89500,64200,78300,67700,82400,81500,100800,92300,97500,139100,99100,124000,139800,139300,121200,123100,134900,98200,78400,85800,81700,184800,235600,225500,152300,105300,75400,80500,138600,174900,153300,185300,214900,238100,238700,255900,295900,297200,290400,288800,327500,355600,340800,292900,305900,324900,363800,359900,395000,404000
Venezuela,15400,16000,26000,33000,35000,33800,43200,53400,47000,59500,67100,75800,83300,128600,140400,162200,180300,233600,228300,239700,145600,158800,154300,267700,407900,508400,607700,666500,515200,434000,396600,322000,282000,246000,298000,305000,291000,221700,206000,253000,269000,301000,303500,320000,351000,306000,374000,330000,329700,365000,407700,441600,405400,425000
Brazil,227800,236800,314000,255500,290400,281100,447900,601700,630400,999000,1165000,1746500,1671600,1824800,1909800,2481700,3161100,3210000,3535600,4117700,2747400,2726500,2284400,3443200,3194200,3931000,3887200,3728300,3362400,3207800,3385500,3530600,4435300,5021500,4516300,4908100,5719900,5731100,5735500,7301800,7089700,7550700,10141000,10654800,8719900,8906100,10585000,9387000,9045000,10133000,11656500,12604400,13440600,14019000
French Guiana (France),43.4,50.46,39.07,42.25,45.01,32.52,39.65,46.1,45.95,51.6,67.91,72.94,76.48,81.02,79.83,79.21,82.86,99.05,104.09,88.35,102.21,83.02,109.72,134.64,100.85,165.93,194.95,217.65,290.41,356.73,359.96,388.6,428.88,447.89,429.88,589.26,773.9,743.57,687.96,772.66,661.63,1475.83,1312.42,1156.9,943.14,724.02,573.93,364.56,438.99,519.25,465.86,450.58,531.94,372.86
Guyana,2801.69,2809.9,2700.54,4800.72,4482.21,3764.46,4414.69,4818.33,5058.9,5008.98,5222.31,4851.61,5354.39,6483.08,5334.14,4514.6,5270.1,4915.72,3990.72,4087.09,5248.25,4530.99,4011.01,4932.16,3518.52,4962.97,4811.69,4437.62,4186.1,4032.69,4362.2,4719.02,6044.02,5996.55,6580.75,8588.35,11803.12,10552.54,11559.22,10808.12,9647.94,18884.29,21997.83,15399.87,11692.49,7612.87,7817.67,5836.82,8389.94,10008.48,10280.93,9800.97,13041.42,15633.68
Suriname,604.49,674.75,751.62,933.97,1099.8,809.06,1133.14,1342.11,1253.01,1441.47,1473.17,1504.52,1869.83,1928.72,1617.54,1584.17,1543.89,1653.93,1721.02,1954.46,2613.56,2179.57,2499.49,2715.69,2147.4,2755.09,2747,2550.3,2580.29,2235.56,2242.38,2561.39,2553.83,2323.91,2287.79,2796.16,3218.66,2934.17,2885.75,2689.36,2768.37,5057.98,6149.39,4254.82,3228.47,2134.85,2168.36,1468.73,2454.78,2866.83,2898.05,2525.3,3490,3482.81
Argentina,19000,13900,20800,27200,39500,49500,63800,67800,80500,76600,81000,90600,67700,69800,66900,75800,84300,96000,141700,129300,86400,106700,118500,158500,162600,151100,167900,162500,153100,165500,167300,248200,293900,461000,524700,855200,809600,772900,821500,823300,921300,877300,1070500,1346000,1158000,1355500,1690900,1157000,1078700,1428200,1592600,1369100,1428300,1491000
Chile,93400,89300,102200,108400,109000,132700,115700,129000,146100,147800,159900,145500,182900,180000,102100,119000,109400,129500,136700,137600,117900,105800,139200,181000,202600,259100,277400,292300,308100,307000,306000,344000,385000,381000,405000,423000,435000,470000,474500,482000,480400,475000,510700,557500,526500,491500,530800,452200,457000,423600,428500,427100,424400,422900
Paraguay,600,750,1000,1437,1545,1730,2000,2400,2900,9001,4636,5114,3070,1758,1136,1000,1100,2800,5858,6320,9265,7602,9000,9200,11271,12400,15000,8184,19626,17923,20571,21897,20900,22900,23000,33000,59000,71832,91179.45,115738,146911.23,153168,217265,264282,227540,258160,343292,280663,252170,340284,420330,367780,436134,505120
Uruguay,33600,35000,36300,46200,44000,48100,49200,68800,56200,60000,88100,86800,50800,40000,48000,64000,68500,59000,80800,80900,67300,60500,40200,53000,60200,53400,60600,69000,70500,71800,79100,81200,91000,63000,66000,153500,129200,130000,105500,104100,115700,104900,145600,141300,143800,137800,177200,138000,162300,169000,184300,271800,259400,219100
Canada,386700,415200,499400,560000,693500,812200,886100,743200,722900,838300,863300,1015800,1208700,1239800,1300900,1355700,1568000,1809400,1879400,1948400,1972600,2063600,2339200,2468800,2421400,2188400,2221000,2130900,2165200,2073800,2173100,2260900,2379200,2386900,2567700,2696100,2726000,2649000,2689300,2542900,2546600,2636200,2685600,2481400,2326000,2787000,2922600,2569800,2802000,3025000,3393300,3664700,3723700,3924000
United States ,7878500,8623200,9489400,9965700,11289700,12676600,13551400,14074900,14577400,15860800,15579400,16132400,17498700,16010700,18891900,20041900,18670800,20361800,20916800,21477000,19427400,16501800,19753200,19688200,17616500,17285900,17792400,17733300,18709400,18587100,18785300,19022600,20350100,19266100,20010300,20310500,20165500,19649500,19612700,18797900,19614200,19353100,21203100,20090700,19273300,20770900,19455100,16045700,18880000,19792300,20362800,20861300,21430000,20392000
Japan,1640300,1707500,1881900,1845500,1968000,2105100,2248700,2119800,2083500,1950200,1913200,2062500,2348100,2118700,1789700,2119500,2124100,2223400,2343800,1816200,1882300,1984500,2098400,2097900,2024500,2052600,2036600,1943000,1938000,1838000,1752000,1784000,1817100,1763700,1641100,1563000,1509900,1418600,1436900,1452300,1354000,1301000,1310700,1292200,1294200,1294400,1235500,990000,956300,1100200,1041600,1049400,1037800,910600
"Korea, Republic ",329000,315000,345800,360700,336500,423300,486500,478500,534500,563000,628000,650300,791100,836600,885500,659300,735900,816500,860900,825600,829400,614100,717600,778100,836800,863400,904400,921100,978000,957700,927700,963700,973700,960000,979000,909000,992000,867000,821100,783400,674900,684400,712800,749900,722300,501100,626900,491700,485000,500000,476000,475000,472000,467000
Singapore,0.4,0.39,0.78,1.03,1.14,2.6,7.86,10.79,13.95,7.56,12.81,10.7,20.86,8.16,3.52,4.55,9.92,11.78,13.12,6.07,20.87,34.13,31.14,29.7,21.25,16.58,20.13,8.42,4.65,4.37,2.96,2.86,1.79,1.51,2.35,2.38,3.63,1.57,2,2.31,2.59,2.61,2.81,4.59,9.31,10.35,12.06,11.26,11.08,10.17,25.18,29.05,41.64,0.61
Taiwan (China) ,182000,171200,188800,211800,230200,249300,256400,274600,267500,256700,266500,281400,342100,327700,409100,392700,416500,432400,442100,435700,435400,392500,412300,399400,395600,460200,440900,469500,492200,510100,534100,481000,514300,523000,525200,525000,467700,542000,501000,468000,397900,393500,396000,367500,330000,334000,348000,291500,291700,306200,291700,294700,287700,281900
China,1012000,1034000,1115000,1199000,2032000,2811000,2269000,2673000,3241000,3919000,4311000,4997000,6251000,5414000,6616000,7425000,9835700,10601000,12980000,15266000,15271000,16003000,18221000,19663000,16883400,16863000,22246800,24852400,24936000,26763600,29125000,28721000,24565000,28319000,35055000,35459000,35179000,35288000,35938000,34748000,35556000,40254000,39568000,43077000,46668300,49368000,50510700,47707100,47999900,49512900,50806200,51445900,51280000,44984100
"Korea, DPR",45000,119000,128000,137000,163000,186000,203000,250000,251100,309400,338100,361300,369400,405400,424000,550500,610600,766700,749200,729200,786100,740500,752800,764000,844400,755000,745600,806000,814700,832400,811100,782500,766000,323000,104200,93000,171100,157200,253000,256000,266100,229200,229200,239600,237500,254000,265000,240600,230500,270900,270000,277000,285100,286700
Mongolia,16.63,20.35,42.07,58.23,59.23,127.27,396.64,498.81,653.03,351.22,472.51,389.41,893.78,446.21,207.28,248.31,538.03,943.87,1180.24,567.66,2012.65,3163.84,3553.07,3994.48,3780.53,3554.14,4962.13,3513.1,3094.28,3131.09,4060.32,3837.15,2646.77,1832.93,1874.19,1623.81,2260.08,852.2,893.66,631.7,712.22,715.45,626.51,812.78,1457.08,1370.33,1581.43,1797.62,2707.77,2576.97,7146.65,7162.9,9841.29,10187.45
Brunei Darussalam,1.68,1.55,2.4,3.13,3.21,7.43,23.62,29.39,35.03,18.56,23.62,10,26.74,14.4,5.95,6.91,11.02,12.2,14.27,10.24,31.51,47.82,49.36,78.78,64.87,60.79,88.28,60.14,49.07,53.47,73.93,68.62,52.72,46.38,62.13,61.91,90.96,34.39,43.98,54.8,57.66,55.77,48.56,73.51,137.97,114.47,135.3,127.04,139.43,132.56,321.1,321.25,484.97,83.14
Cambodia,130.17,136.17,270.44,381.74,379.59,799.89,2320.73,3292.85,3679.19,2256.59,2452.4,1534.4,2217.97,839.69,536.29,686.96,1377.9,2027.8,1998.59,1696.8,5848.08,10937.04,11067.3,7669.12,10334.46,10056.77,12976.83,11550.5,9699.11,10131.61,13302.76,12808.49,10149.65,7311.05,11545.45,10510.61,15658.03,6027.12,7464.26,7228.81,7748.31,7288.02,7607.04,11193.59,24397.11,27531.87,33848.39,33118.07,33792.55,32891.22,84792.5,84686.79,124722.25,119241.86
Indonesia,143900,158400,135000,139800,149100,130400,82900,145000,228300,247300,253300,327900,455200,467100,486900,485400,647800,759900,855500,1216300,1453600,1593000,1544700,1877900,1955000,2049400,2233600,2480900,2331600,2500800,2400100,2583000,2317000,2467000,2529200,2715900,2227600,2727700,2523800,2493500,2528600,3030300,3115800,3518700,3710100,3635000,4068300,4111100,4465600,4794900,4924600,5247800,5402700,5719400
Laos,35.22,33.84,68.77,135.39,136.41,314.4,991.94,876.53,1153.2,616.93,839.77,691.19,1552.96,791.87,353.6,338.37,719.91,1115.1,1596.24,854.27,3205.23,5100.02,4894.82,5004.01,4615.85,4212.17,5247.13,3684.15,3401.19,3848.06,4646.23,4679.32,3409.52,3156.1,3748.09,3494.11,5590.07,2262.92,2869.08,3271.6,3425.74,3216.05,3083.99,4812.24,8964.7,10015.18,12276.41,12920.07,13263.63,12739.16,30687.97,32060.99,45573.38,42013.65
Malaysia,67100,72700,77700,81900,96500,114200,115500,119500,158200,176600,216000,219600,291700,239200,244300,272300,314700,373100,474800,508500,419900,442800,492000,647000,623400,658300,747600,887100,892900,909500,941000,964900,1031000,1157300,1092000,1131000,1252000,1406000,1323800,1207400,1140600,1220000,1443400,1684100,1606400,1778400,1878400,1411900,1532000,1971900,2110400,2210000,2210000,2213900
Myanmar,6700,7000,7000,9000,9100,12000,38500,32600,33000,21900,39100,48300,41500,50700,55600,51100,59800,84500,95200,100200,124600,168400,159700,188200,195500,178700,121700,85000,83400,75100,83100,67200,86000,144700,180000,173900,177900,171800,163100,209700,97000,132300,138100,71500,57500,61900,75000,64100,66000,79200,85900,105100,139500,498700
Philippines,81300,92200,97000,92200,118200,116500,118100,174500,198400,201200,204500,199500,255000,283300,227200,252800,271300,323000,351000,318600,321600,345600,363400,264500,283700,389800,485800,504400,533900,586900,447800,505400,565200,600200,598500,736800,809100,628400,743700,734500,785900,723700,745200,760200,704200,698200,732800,671100,645500,614900,619200,660400,840300,930800
Thailand,19500,23000,33900,41900,33400,55000,98800,123400,121100,114400,100600,170800,153000,144600,199900,215900,305200,335300,323800,312200,328900,321700,480700,445700,448600,562000,629900,770500,818800,1043700,962100,1117800,1455000,1360000,1507000,1520000,1481000,1637000,1763000,1539900,1710300,1707000,1786300,1829200,1747000,1632400,1711600,1594100,1633000,1921900,2135900,2152300,2545800,2324700
Timor Leste,3.12,3.41,6.68,8.42,8.11,19.66,68.54,75.21,110.55,64.5,83.6,67.3,161.23,82.16,39.2,50.51,113.15,185.91,241.35,129.06,472.35,782.07,813.14,912.81,875.9,841.65,1177.81,809.2,675.67,806.25,1248.14,1151.66,869.05,765.04,991.31,862.35,1291.28,394.25,539.97,560.4,666.5,626.64,570.36,839.05,1757.18,2016.07,2255.88,2363.09,2211.02,1931.86,3701.65,4323.32,5790.69,3206.73
Viet Nam,66700,96600,154600,131500,170900,113200,139800,111900,272300,281500,215600,202800,248700,284300,329800,385700,438600,366300,188200,191300,219200,274700,374100,374900,469200,524100,421700,576100,563000,560300,781900,766400,754100,1184900,1223700,1484500,1471700,1856900,2057600,2283000,2027800,2230800,2439400,2563200,2071100,2131500,2178700,1956200,2090000,2300000,2420000,2655000,2501000,2656000
Fiji,15.33,307.7,370.45,578.57,460.52,456.2,478.85,571.49,622.33,652.14,803.41,837.44,862.12,1210.06,1018.63,1187.97,1446.47,1516.34,1782.51,1836.33,1959.75,1657.18,1399.68,2017.43,2878.48,4390.68,4469,4479.03,4618.69,4906.41,3274.75,3549.61,3788.32,4317.62,4257.63,4326.06,4313.54,3284.06,2921.15,2565.24,3854.41,2889.5,2114.85,3403.8,3778.37,4034.21,3345.51,4291.49,3565.31,3478.04,3518.86,3409.64,1692.62,2252.68
Micronesia,15.96,320.31,328.22,506.14,422.04,397.35,403.16,500.55,549.28,593.89,740.39,721.76,871.02,1260.77,1011.95,1150.4,1259.11,1467.11,1593.72,1425.14,1697.84,1347.56,1156.92,1529.71,1458.94,2459.45,2573.43,2630.54,2547.98,2376.3,1017.04,1161.38,1145.54,1281.88,1872.12,2071.68,2002.85,1540.46,1407.1,1226.53,1638.6,1236.06,942.93,1549.55,1787.11,1886.63,1631.37,2008.02,1759.36,1761.49,1706.9,1620.9,861.36,1053.18
New Caledonia (France),4.19,83.86,101.34,151.82,123.48,117,108.4,113.85,120.19,132.38,180.56,208.1,218.82,301.69,238.14,273.56,293.99,304.69,328.46,348.94,360.6,297.74,291.92,365.77,288.28,442.81,452.83,381.18,409.5,320.82,199.06,191.8,224.69,240.88,256.47,244.79,248.64,226.36,200.91,200.42,281.15,205.85,157.14,261.55,300.32,319.56,285.13,363.44,286.1,302.48,284.55,279.26,153.65,115.08
Papua New Guinea,110.11,2256.57,2759.49,4373.54,3396.62,3419.78,3596.24,4075.46,4564.64,4986.76,6785.93,7903.37,8535.22,12440.41,10470.02,12450.39,14264.09,14864.46,15723.6,14348.82,15821.5,13005.2,12283.62,15512.42,13406.26,21137.66,22825.14,25174.81,25413.81,23372.35,17125.62,17778.31,18167.36,21474.34,22162.79,22864.27,22846.08,21211.2,19657.58,17174.44,21824.3,16744.84,13059.76,19822.54,23895.07,25502.39,23568.92,29097.72,26846.6,26291.33,26779.69,24534.81,13372.14,9527.92
Polynesia,29.71,641.61,734.24,1093.23,879.72,906.08,797.15,957.54,1152.17,1166.2,1588.8,1726,1725.78,2457.62,2213.16,2468.62,2639.96,2740.3,2983.62,3113.58,3290.21,2558.34,2186.66,2669.28,2399.65,3717.68,3806.46,4043.27,3155.35,2752.16,1978.71,2087.89,2232.48,2457.78,2539.61,2657.96,2614.33,2265.59,2128.1,1948.65,2507.72,1942.91,1471.87,2375.88,2790.15,2984.07,2598.41,3273.62,2928.67,2965.02,2854.86,2758.7,1451.86,1419.6
Solomon Islands,8.56,166.76,213.02,318.46,254.04,241.88,245.38,256.23,321.29,346.23,471.42,531.4,561,790.74,662.4,786.8,936.82,994.16,1180.5,1160.3,1264.15,986.35,923.76,1163.14,1048.26,1639.38,1763.28,2007.44,1932.53,1785.49,1337.81,1431.72,1477.34,1652.41,1696.47,1645.64,1743.08,1545.75,1387.86,1265.22,1700.17,1327.83,1085.2,1696.59,2252.72,2386.69,2132.75,2574.31,2403.67,2496.43,2475.77,2389.85,1277.46,1464.17
Vanuatu,16.15,323.19,393.24,578.23,463.57,461.72,470.82,524.88,570.09,622.38,829.49,971.93,1026.04,1438.7,1185.71,1382.27,1559.56,1612.95,1707.6,1666.89,1805.95,1447.63,1357.43,1642.25,1420.13,2212.34,2409.86,2583.72,2622.13,2386.47,1767,1799.29,1964.27,2175.09,2214.9,2189.61,2231.49,1926.59,1797.3,1619.5,2193.65,1653.03,1268.26,1990.08,2796.26,2986.46,2537.91,3091.4,2810.28,2805.21,2679.36,2606.84,1390.92,1667.37
Afghanistan,200,200,200,200,200,600,10000,15000,17000,19400,20500,39400,24600,33800,36400,46900,54200,53600,49700,50800,39800,52800,56800,72800,72900,67100,79000,55700,55600,44500,48600,45800,40000,20000,10000,5000,5000,5500,5000,5000,28100,25800,28400,31400,32400,41100,45200,49700,49700,49700,54000,57000,60000,62700
Bangladesh,21500,27000,49000,45000,54200,75800,96000,108000,145700,143600,115500,182000,182100,132200,214200,240400,340500,354700,403200,413300,396100,461300,543400,581700,537500,613800,701700,772200,917600,931000,1005200,998700,945600,1050100,1195000,1230600,1109200,1170500,1365700,1389100,1467400,1444300,1538400,1684500,1605000,1599400,1679400,1303500,1610100,1814400,2027300,1964600,2045000,2355900
Bhutan,4.54,4.68,9.64,13.08,13.44,31.35,98.52,127.22,169,92.19,128.09,107.7,247.31,125.67,57.7,68.93,139.99,215.12,269.31,141.96,530.18,869.21,922.31,1040.8,928.39,874.49,1247.82,682.9,580.67,629.53,868.61,854.75,672.29,588.51,778.82,747.21,1109.58,429.13,489.04,352.69,389.58,298.08,263.54,368.82,1085.98,1252.08,1602.58,1074.11,1085.59,928.23,2650.13,2244.75,3087.42,1967.17
India,417900,477800,574300,652500,757300,1203000,1679500,1749900,1407100,1814100,2382500,2588900,2541900,2662900,2509700,3377000,4075100,4510600,5005000,5231000,5724000,5865600,6635500,7999400,8665400,9617600,8342700,10765400,11314300,11998500,12728100,12154500,12385900,13563600,13876100,14338000,16188000,16797500,18069700,16723700,17359100,16088200,16791000,18401400,20364000,21646200,22575900,24908900,26493200,28122200,27789900,25536100,24483400,25309200
Nepal,600,600,600,800,900,1500,2700,3200,4600,5400,8100,12000,12000,12300,12200,14900,18500,19400,20200,23000,24800,31900,38100,42700,43300,45000,54300,56300,67400,72500,81100,82000,73500,93000,93700,103000,107500,121500,94400,76900,73800,75000,72000,24300,12800,18500,12000,17000,18000,31000,41000,93600,121000,154600
Pakistan,72700,41200,68700,87200,70400,111800,190400,244600,261900,295200,381900,436500,402600,426600,556600,631600,721300,875000,1045500,1079400,1079900,1247000,1204600,1253400,1510200,1782900,1695900,1739700,1890000,1892900,1883800,2148800,2146500,2183400,2515000,2413100,2659200,2578100,2833600,2962500,2924100,3017400,3190700,3653000,3935600,3661700,3582200,3711300,4360600,3941500,3862800,3620700,4083900,4323100
Sri Lanka,85700,78500,83500,91700,86500,90800,93800,106900,101600,105100,112300,100000,105200,121200,71800,102800,112300,137500,130900,165300,153700,155500,161800,188700,195700,193400,204200,207100,211300,171200,177200,184100,213400,218600,206200,211100,208700,232700,259100,247000,243700,250000,228000,239100,236000,252500,262000,285500,265000,299700,313800,310800,327500,333100
Austria,251500,273200,327300,349900,363200,361200,400600,378800,436100,406500,440800,413500,414800,337600,313100,371400,388100,390600,401000,407300,393900,355700,383900,390800,388300,312400,298800,315200,274200,304300,288700,267000,262000,250000,237000,265000,248000,247000,225000,217000,221000,199000,187000,183000,180900,182300,190400,131000,136500,177000,177000,182000,186700,192800
Belgium-Luxembourg,395300,450400,452300,433800,465100,500800,488600,497500,527100,526100,506600,525000,537900,504800,450300,465400,469100,462500,436400,439100,422700,424000,451000,417200,425100,425500,416900,415000,401500,384000,354000,330000,321000,319000,309000,314000,307000,309000,304000,295000,290000,295000,295000,304000,301000,294000,297000,227000,252500,269000,269000,269000,268000,267000
Denmark,425900,423800,446300,473600,503000,531200,524700,551400,580100,597700,632300,676300,736200,574000,639000,651400,691500,688100,697800,627300,617700,652600,686700,659200,633700,642100,605800,617000,650600,633200,580600,507000,483000,466000,438000,449000,437000,412000,375000,349000,323000,310000,315000,319000,305000,302900,324300,239000,260000,255000,243000,252000,254000,259000
Finland,208800,199100,242700,250300,244100,245300,272700,287400,336400,327900,332000,328500,359700,366000,317300,260800,270400,289400,294500,305400,290800,326400,335900,313300,305300,307800,327400,307700,311500,247800,192100,174000,168000,181000,160000,143000,143000,309000,310000,299000,285000,275000,276000,271000,270000,269000,268000,198000,212000,228000,203000,199000,205500,205000
France,2602600,2677000,2881000,3087700,3099600,3369400,3793300,4075300,4219600,4646700,4938700,5383600,5835600,4679900,4701500,5103200,5230600,5651600,5985800,5610200,5569600,5570900,5833000,5780000,5694700,5872200,5818300,5998500,6103400,5683600,5565000,4530000,4604000,4712200,4914200,5064000,4988800,4837000,4753400,4145200,4165300,3967100,3983000,3907800,3538600,3492600,3828200,2785200,2890700,3435400,2933300,3145000,3085000,3035500
Germany,3387200,3616100,3749300,4061000,4209900,4116400,4229900,4265000,4561500,4763600,4900600,4856700,4936000,5088600,4932300,5209000,5050600,5098600,5235600,5169700,4856200,4753600,4587300,4741100,4822700,4834500,4809900,4875800,4590900,3350700,2968000,2843000,2672000,2906000,2821000,2818900,2856800,2938300,3053000,2743000,2610100,2595000,2597000,2561200,2485900,2306400,2634700,1904000,2167000,2505900,2272700,2353500,2417300,2584100
Iceland,16100,17100,18300,18900,19200,19700,21500,23800,22600,23400,26200,26400,28100,25900,28100,28700,29100,30700,30800,28800,30100,30600,29400,26600,25200,25000,23300,22000,22400,23200,22800,20000,23000,20100,18700,18900,19300,18700,21900,17000,18700,20500,20500,21000,20000,19000,21900,18300,19000,19000,19300,19600,20100,20800
Ireland,209700,237000,245000,235100,216800,288400,327300,357500,381800,424400,420600,529000,505300,361200,432000,486600,610600,669100,592300,600800,595000,625800,677800,676300,629600,717400,661100,680500,706300,692300,665000,668000,716000,752000,748000,682000,660000,712000,692000,599000,593000,615000,586000,566800,555100,531400,454800,412000,507000,480000,472000,523600,545400,534900
Netherlands,478400,511500,555400,544500,562200,576600,577200,568300,616600,650200,601300,604000,634300,641000,634800,635400,643900,630500,694000,677700,663400,636000,682100,707800,697100,698700,635400,620200,590100,560600,561000,544000,518000,534000,535000,527000,508000,485000,471000,418000,416000,406000,394000,359000,348000,350000,357000,316000,294000,299000,246000,246000,231400,219000
Norway,147600,155100,158200,163200,164000,169500,178600,180900,196300,201000,204600,211600,233000,216800,220300,229900,245600,246000,264400,244300,255400,254600,256300,248000,234000,235000,229400,217500,212300,209600,208000,205000,208000,207000,210000,209000,205000,201000,198000,194000,184000,184000,189000,189000,186000,189000,189000,128000,129000,148000,155000,158000,162900,164800
Sweden,311800,304800,332000,373400,386800,389400,428900,456200,473000,502600,525200,518700,567900,484200,523500,531800,527400,522800,507000,483700,485100,476400,481300,456700,419300,405500,400700,365000,367500,328000,292000,312000,324000,323000,297000,312000,311000,294000,290000,278000,274000,274000,261000,240000,237000,243000,269000,208000,221100,226000,213100,217000,218100,242100
